Name                                                                                                  Stmts   Miss  Cover
myvenv\Lib\site-packages\yaml\constructor.py                                                            444    347    22%
myvenv\Lib\site-packages\yaml\cyaml.py                                                                   36     18    50%
myvenv\Lib\site-packages\yaml\dumper.py                                                                  23     12    48%
myvenv\Lib\site-packages\yaml\emitter.py                                                                838    769     8%
myvenv\Lib\site-packages\yaml\error.py                                                                   58     48    17%
myvenv\Lib\site-packages\yaml\events.py                                                                  61     32    48%
myvenv\Lib\site-packages\yaml\loader.py                                                                  31     18    42%
myvenv\Lib\site-packages\yaml\nodes.py                                                                   29     17    41%
myvenv\Lib\site-packages\yaml\parser.py                                                                 352    312    11%
myvenv\Lib\site-packages\yaml\reader.py                                                                 122    105    14%
myvenv\Lib\site-packages\yaml\representer.py                                                            244    174    29%
myvenv\Lib\site-packages\yaml\resolver.py                                                               134     97    28%
myvenv\Lib\site-packages\yaml\scanner.py                                                                759    678    11%
myvenv\Lib\site-packages\yaml\serializer.py                                                              85     70    18%
myvenv\Lib\site-packages\yaml\tokens.py                                                                  76     27    64%
urls.py                                                                                                  11     11     0%
-------------------------------------------------------------------------------------------------------------------------
TOTAL                                                                                                 45171  28662    37%
